DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,TCGA_subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,PatientID,DepmapModelType,OncotreeCode,PatientMolecularSubtype,AgeCategory,PatientRace,SourceDetail,TreatmentStatus,TreatmentDetails,OnboardedMedia,EngineeredModel,TissueOrigin,CatalogNumber,PlateCoating,ModelDerivationMaterial
ACH-000271,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-10,13310330.0,Male,DSMZ,2.0,"-3,630910702",Suspension,RPMI + 20% FBS,45,CVCL_1889,pleural_effusion,Metastatic,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBC,25.0,SIDM00389,2690.0,,Lymphoid,non_hodgkin_lymphoma,DLBCL,,PT-i02i7U,DLBCLNOS,DLBCLNOS,,Adult,,DSMZ,,,MF-001-020,,,CRL-2963,,
ACH-000272,SLR24,SLR24_KIDNEY,SLR 24,,Unknown,Academic lab,2.0,"-4,072239642",Adherent,RPMI + 10% FBS,"92,3",CVCL_V610,kidney,Primary,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KIRC,,,,This line is an RCC4 derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,Kidney,renal_cell_carcinoma,,,PT-cSAYbR,CCRCC,CCRCC,,Unknown,,Bill Kaelin (DFCI),,,MF-001-001,,,,,
ACH-000273,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,SF539,9059840.0,Female,Academic lab,2.0,"-4,737097602",Adherent,RPMI + 5% FBS,"83,1",CVCL_1691,central_nervous_system,Primary,Diffuse Glioma,Gliosarcoma,MISC,34.0,SIDM00083,17810.0,,CNS/Brain,glioma,,,PT-qWYBLI,GSARC,GSARC,,Adult,,Garraway lab,,,MF-001-014,,,,,
ACH-000274,HS852T,HS852T_SKIN,Hs 852.T,,Male,ATCC,2.0,"-3,329738299",Adherent,DMEM + 10% FBS,"93,9",CVCL_0950,skin,Primary,Melanoma,Melanoma,SKCM,53.0,,,,Skin,melanoma,,,PT-QbMSjm,MEL,MEL,,Adult,,ATCC,,,MF-002-001,,,CRL-7585,,
ACH-000275,HS834T,HS834T_FIBROBLAST,Hs 834.T,,Female,ATCC,,,Unknown,,,CVCL_0938,lymph_node,Metastatic,Non-Cancerous,"Fibroblast, Skin",CNTL,27.0,SIDM01709,,,Fibroblast,fibroblast_skin,,,PT-CaS06R,ZFIBSKI,,,Adult,,ATCC (possibly academic collab),,,,,,,,
ACH-000276,HCC38,HCC38_BREAST,HCC38,7497170.0,Female,ATCC,1.0,"-3,267076287",Adherent,Waymouth's MB 752_1 + 10% FBS,"60,8",CVCL_1267,breast,Primary,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BRCA,50.0,SIDM00675,13180.0,,Breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,PT-S4bLNM,IDC,IDC,,Adult,caucasian,ATCC,,,MF-020-001,,,CRL-2314,,
ACH-000277,HCC1419,HCC1419_BREAST,HCC1419,9070450.0,Female,ATCC,2.0,"-3,094022486",Adherent,RPMI + 10% FBS,"51,3",CVCL_1251,breast,Primary,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BRCA,42.0,SIDM00882,15510.0,,Breast,breast_ductal_carcinoma,ERpos_HER2pos,HER2_amp,PT-osxHUh,IDC,IDC,,Adult,,ATCC,,,MF-001-001,,,CRL-2326,,
ACH-000278,COV362,COV362_OVARY,COV362,,Female,ECACC,3.0,"-3,261751642",Adherent,DMEM + 10% FBS + 2mM Glutamine,"83,5",CVCL_2420,pleural_effusion,Metastatic,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OV,,,,,Ovary/Fallopian Tube,ovary_adenocarcinoma,high_grade_serous,,PT-BexFYH,HGSOC,HGSOC,,Unknown,,ECACC,,,MF-002-003,,,7071910,,
ACH-000279,EWS502,EWS502_BONE,EWS502,,Unknown,Academic lab,2.0,"-4,550667876",Adherent,RPMI + 15% FBS + 2mM Glutamine,"84,3",CVCL_S740,bone,Primary,Ewing Sarcoma,Ewing Sarcoma,SARC,,,,,Bone,Ewing_sarcoma,,EWS_FLI,PT-BpX01U,ES,ES,,Pediatric,,Marino-Enriquez (BWH),,,MF-001-018,,,,,
ACH-000280,SNU840,SNU840_OVARY,SNU-840,,Female,KCLB,3.0,"-2,478742896",Adherent,RPMI + 10% FBS,"54,1",CVCL_5100,ovary,Primary,Ovarian Epithelial Tumor,"Brenner Tumor, Malignant",MISC,45.0,,,,Ovary/Fallopian Tube,brenner_tumor,,,PT-S0isOw,BTMOV,BTMOV,,Adult,asian,KCLB,,,MF-001-001,,,840,,
ACH-000281,KP2,KP2_PANCREAS,KP-2,12982180.0,Female,HSRRB,3.0,"-2,435049644",Adherent,RPMI + 10% FBS,85,CVCL_3004,pancreas,Primary,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,65.0,SIDM00582,7460.0,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-aIUMLY,PAAD,PAAD,,Adult,asian,HSRRB,,,MF-001-001,,,JCRB0181,,
ACH-000282,NCIH1755,NCIH1755_LUNG,NCI-H1755,9084750.0,Female,ATCC,,,Mixed,RPMI + 10% FBS,,CVCL_1492,liver,Metastatic,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,65.0,SIDM00738,12400.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-tUaDvw,LUAD,LUAD,,Adult,caucasian,ATCC,,,MF-001-001,,,,,
ACH-000283,A1207,A1207_CENTRAL_NERVOUS_SYSTEM,A1207,,Female,Academic lab,,,Adherent,DMEM + 10% FBS,,CVCL_8481,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,,,,,CNS/Brain,glioma,glioblastoma,,PT-jCV3Db,GB,GB,,Unknown,,Linda Chin,,,MF-002-001,,,,,
ACH-000284,HS840T,HS840T_FIBROBLAST,Hs 840.T,,Male,ATCC,,,Adherent,DMEM + 10% FBS,,CVCL_0942,fibroblast,,Non-Cancerous,"Fibroblast, Upper Aerodigestive",CNTL,7.0,SIDM01725,,,Fibroblast,fibroblast_upper_aerodigestive,,,PT-LnFH3Z,ZFIBUPA,,,Pediatric,caucasian,ATCC,,,MF-002-001,,,,,
ACH-000285,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Toledo,,Female,ATCC,,,Suspension,RPMI + 10% FBS,,CVCL_3611,haematopoietic_and_lymphoid_tissue,Primary,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBC,,,,,Lymphoid,non_hodgkin_lymphoma,DLBCL,,PT-gL1kFD,DLBCLNOS,DLBCLNOS,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-2631,,
ACH-000286,SNU1033,SNU1033_LARGE_INTESTINE,SNU-1033,,Female,KCLB,2.0,"-2,916032875",Adherent,RPMI + 10% FBS,"67,5",CVCL_5002,large_intestine,Primary,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ,45.0,SIDM00192,,,Bowel,colorectal_adenocarcinoma,,,PT-eQWzKj,READ,READ,,Adult,asian,KCLB,,,MF-001-001,,,,,
ACH-000287,NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NU-DUL-1,13309820.0,Male,DSMZ,,,Suspension,RPMI + 15% FBS,,CVCL_1877,cerebrospinal_fluid ,Metastatic,Mature B-Cell Neoplasms,Activated B-cell Type,MISC,43.0,SIDM00443,950.0,,Lymphoid,non_hodgkin_lymphoma,DLBCL,,PT-dNbHpB,ABC,ABC,,Adult,caucasian,DSMZ,Unknown,,MF-001-017,,,CRL-2969,,
ACH-000288,BT549,BT549_BREAST,BT-549,9059510.0,Female,ATCC,3.0,"-4,531994178",Adherent,RPMI + 10% FBS + 2ug/ml Insulin,"77,4",CVCL_1092,breast,Primary,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCA,72.0,SIDM00122,18350.0,,Breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,PT-hgWgpg,BRCNOS,BRCNOS,,Adult,caucasian,ATCC,,,MF-001-045,,,HTB-122,,
ACH-000289,SNU466,SNU466_CENTRAL_NERVOUS_SYSTEM,SNU-466,,Male,KCLB,,,Adherent,RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate,,CVCL_5064,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,61.0,,,,CNS/Brain,glioma,glioblastoma,,PT-KlxS9l,GB,GB,,Adult,asian,KCLB,,,MF-001-005,,,466,,
ACH-000290,NCIH209,NCIH209_LUNG,NCI-H209,6880130.0,Male,ATCC,2.0,"-5,344153022",Suspension,RPMI + 20% FBS,"95,9",CVCL_1525,bone_marrow,Metastatic,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,MISC,55.0,SIDM00706,4520.0,,Lung,SCLC,,,PT-DzY90c,SCLC,SCLC,,Adult,caucasian,ATCC,,,MF-001-020,,,,,
ACH-000291,OV90,OV90_OVARY,OV-90,12401970.0,Female,ATCC,2.0,"-4,763278943",Adherent,,"87,6",CVCL_3768,ascites,Metastatic,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV,64.0,SIDM01141,13270.0,,Ovary/Fallopian Tube,ovary_adenocarcinoma,high_grade_serous,,PT-MtLxSF,SOC,SOC,,Adult,caucasian,ATCC,,,,,,CRL-11732,,
ACH-000292,NCIH841,NCIH841_LUNG,NCI-H841,12401920.0,Male,ATCC,2.0,"-3,247154990",Adherent,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,"55,2",CVCL_1595,lung,Metastatic,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,MISC,51.0,SIDM01134,13720.0,,Lung,SCLC,,,PT-x8fAhk,SCLC,SCLC,,Adult,caucasian,ATCC,,,MF-007-010,,,CRL-5845,,
ACH-000293,KLE,KLE_ENDOMETRIUM,KLE,9241870.0,Female,ATCC,2.0,"-3,200059325",Adherent,DMEM:F12 + 10% FBS,56,CVCL_1329,endometrium,Primary,Endometrial Carcinoma,Endometrial Carcinoma,UCEC,68.0,SIDM00686,22560.0,,Uterus,endometrial_adenocarcinoma,,,PT-tjaCAG,UCEC,UCEC,,Adult,caucasian,ATCC,,,MF-007-001,,,CRl-1622,,
ACH-000294,NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB-4,13239130.0,Female,DSMZ,3.0,"-2,994957769",Suspension,RPMI + 10% FBS,,CVCL_0005,bone_marrow,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,23.0,SIDM00428,12850.0,,Myeloid,AML,M3,,PT-ogTwsS,AML,AML,,Adult,,DSMZ,,,MF-001-001,,,ACC 207,,
ACH-000295,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM-2,9068550.0,Female,DSMZ,2.0,"-2,057263657",Suspension,RPMI + 10% FBS,"58,1",CVCL_1196,bone_marrow,,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",LCML,5.0,SIDM01047,9010.0,,Myeloid,CML,blast_crisis,,PT-PfwDZx,CMLBCRABL1,CMLBCRABL1,,Pediatric,caucasian,DSMZ,,,MF-001-001,,,ACC 135,,
ACH-000296,OUMS23,OUMS23_LARGE_INTESTINE,OUMS-23,,Male,HSRRB,3.0,"-3,318192974",Adherent,DMEM + 10% FBS,"79,1",CVCL_3088,pericardial_effusion,Metastatic,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,37.0,SIDM00036,,,Bowel,colorectal_adenocarcinoma,,,PT-GezIUF,COAD,COAD,,Adult,,HSRRB,,,MF-002-001,,,JCRB1022,,
ACH-000297,NCIH889,NCIH889_LUNG,NCI-H889,,Female,ATCC,,,Suspension,RPMI + 10% FBS,,CVCL_1598,lymph_node,Metastatic,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,MISC,69.0,,,,Lung,SCLC,,,PT-0Ds3by,SCLC,SCLC,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-5817,,
ACH-000298,NCIH2029,NCIH2029_LUNG,NCI-H2029,6880110.0,Female,ATCC,,,Adherent,DMEM + 10% FBS,,CVCL_1516,lymph_node,Metastatic,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,MISC,69.0,SIDM00735,21060.0,,Lung,SCLC,,,PT-2tJBcj,SCLC,SCLC,,Adult,caucasian,ATCC,,,MF-002-001,,,,,
ACH-000299,HNT34,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HNT-34,,Female,Academic lab,,,Suspension,RPMI + 20% FBS,,CVCL_2071,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,47.0,,,,Myeloid,AML,M4,,PT-OEqvYu,AML,AML,,Adult,,,,,MF-001-020,,,,,
ACH-000300,SLR25,SLR25_KIDNEY,SLR 25,,Unknown,Academic lab,,,Adherent,,,CVCL_V611,kidney,Metastatic,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KIRC,,,,,Kidney,renal_cell_carcinoma,,,PT-QvcrZr,CCRCC,CCRCC,,Unknown,,Bill Kaelin (DFCI),,,,,,,,
ACH-000301,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA-84,9077830.0,Female,DSMZ,,,Suspension,RPMI + 10% FBS,,CVCL_0388,haematopoietic_and_lymphoid_tissue,Primary,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",LCML,29.0,SIDM00346,7090.0,,Myeloid,CML,blast_crisis,BCR-ABL1 positive,PT-qTtBxS,CMLBCRABL1,CMLBCRABL1,,Adult,,DSMZ,,,MF-001-001,,,ACC 168,,
ACH-000302,SNU1077,SNU1077_ENDOMETRIUM,SNU-1077,,Female,KCLB,2.0,"-4,957699087",Adherent,RPMI + 10% FBS,"86,8",CVCL_5007,endometrium,Primary,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS,60.0,SIDM00166,,,Uterus,mullerian_carcinoma,,,PT-SeH5WZ,UCS,UCS,,Adult,asian,KCLB,,,MF-001-001,,,1077,,
ACH-000303,SNU5,SNU5_STOMACH,SNU-5,9084450.0,Female,ATCC,1.0,"-3,869958980",Suspension,IMDM + 20% FBS,"89,1",CVCL_0078,ascites,Metastatic,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD,33.0,SIDM01144,280.0,,Esophagus/Stomach,gastric_adenocarcinoma,,,PT-7cPLvN,STAD,STAD,,Adult,asian,ATCC,,,MF-005-004,,,,,
ACH-000304,WM115,WM115_SKIN,WM-115,9097840.0,Female,ATCC,2.0,"-2,368705248",Adherent,MEM + 10% FBS,"48,3",CVCL_0040,skin,Metastatic,Melanoma,Melanoma,SKCM,55.0,SIDM01000,10000.0,,Skin,melanoma,,,PT-JAyPtz,MEL,MEL,,Adult,,ATCC,,,MF-006-001,,,,,
ACH-000305,ECGI10,ECGI10_OESOPHAGUS,EC-GI-10,7535550.0,Male,RIKEN,2.0,"-5,183063909",Adherent,RPMI + 10% FBS,"92,9",CVCL_1187,lymph_node,,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCA,65.0,SIDM00278,21380.0,,Esophagus/Stomach,esophagus_squamous,,,PT-iltdpC,ESCC,ESCC,,Adult,,RIKEN,,,MF-001-001,,,RCB0774,,
ACH-000306,HS688AT,HS688AT_FIBROBLAST,Hs 688(A).T,,Male,ATCC,,,Adherent,DMEM + 10% FBS,,CVCL_0846,fibroblast,Primary,Non-Cancerous,"Fibroblast, Skin",CNTL,69.0,,,,Fibroblast,fibroblast_skin,,,PT-CqYJd5,ZFIBSKI,,,Adult,caucasian,ATCC,,,MF-002-001,,,CRL-7425,,
ACH-000307,PK1,PK1_PANCREAS,PK-1,,Male,RIKEN,2.0,"-5,066758825",Adherent,RPMI + 10% FBS,"82,5",CVCL_4717,liver,Metastatic,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,,,,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-rg0sYD,PAAD,PAAD,,Unknown,,RIKEN,,,MF-001-001,,,RCB1972,,
ACH-000308,EFO21,EFO21_OVARY,EFO-21,9119050.0,Female,DSMZ,3.0,"-4,734648861",Adherent,RPMI + 20% FBS + 2 mM Glutamine + 1x MEM NEAA + 1 mM sodium pyruvate,"71,8",CVCL_0029,ascites,Metastatic,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV,56.0,SIDM01052,3030.0,,Ovary/Fallopian Tube,ovary_adenocarcinoma,clear_cell,,PT-cdCVJ4,SOC,SOC,,Adult,caucasian,DSMZ,,,MF-001-047,,,ACC 235,,
ACH-000309,SKLU1,SKLU1_LUNG,SK-LU-1,9097210.0,Female,ATCC,,,Adherent,,,CVCL_0629,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,60.0,SIDM01108,2330.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-9oyPuO,LUAD,LUAD,,Adult,caucasian,ATCC,,,,,,HTB-57,,
ACH-000310,IMR32,IMR32_AUTONOMIC_GANGLIA,IMR-32,,Male,ATCC,3.0,"-1,935594423",Adherent,MEM + 10% FBS,"60,1",CVCL_0346,abdomen,Metastatic,Neuroblastoma,Neuroblastoma,MISC,1.0,SIDM00226,,,Peripheral Nervous System,neuroblastoma,,MYCN_amp,PT-2Urqss,NBL,NBL,,Pediatric,caucasian,ATCC,,,MF-006-001,,,,,
ACH-000311,NCIH2122,NCIH2122_LUNG,NCI-H2122,7220460.0,Female,ATCC,4.0,"-3,060373133",Adherent,RPMI + 10% FBS,"68,9",CVCL_1531,pleural_effusion,Metastatic,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,46.0,SIDM00702,10150.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-6IoG5q,LUAD,LUAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-5985,,
ACH-000312,SKNBE2,SKNBE2_AUTONOMIC_GANGLIA,SK-N-BE(2),,Male,ATCC,4.0,"-3,302661565",Adherent,EMEM:F12 + 10% FBS,"50,9",CVCL_0528,bone_marrow,Metastatic,Neuroblastoma,Neuroblastoma,MISC,2.0,SIDM00894,,,Peripheral Nervous System,neuroblastoma,,MYCN_amp,PT-k4Daz3,NBL,NBL,,Pediatric,,ATCC,,,MF-027-001,,,CRL-2271,,
ACH-000313,KMRC3,KMRC3_KIDNEY,KMRC-3,,Male,HSRRB,,,Adherent,DMEM + 10% FBS,,CVCL_2985,kidney,Primary,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KIRC,,,,,Kidney,renal_cell_carcinoma,clear_cell,,PT-Hd1kAu,CCRCC,CCRCC,,Adult,asian,HSRRB,,,MF-002-001,,,JCRB1012,,
ACH-000314,HCC2108,HCC2108_LUNG,HCC-2108,,Male,KCLB,,,Adherent,RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate,,CVCL_A352,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,59.0,,,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-HLJ5qp,LUAD,LUAD,,Adult,,KCLB,,,MF-001-005,,,72108,,
ACH-000315,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-422,9072740.0,Female,DSMZ,2.0,"-2,764182299",Suspension,RPMI + 20% FBS,"76,6",CVCL_1325,pleural_effusion,Metastatic,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBC,73.0,SIDM01008,19730.0,,Lymphoid,non_hodgkin_lymphoma,DLBCL,,PT-lrPA2x,DLBCLNOS,DLBCLNOS,,Adult,,DSMZ,,,MF-001-020,,,ACC 32,,
ACH-000316,SNU886,SNU886_LIVER,SNU-886,,Male,KCLB,2.0,"-4,183537632",Adherent,RPMI + 10% FBS,83,CVCL_5103,liver,Primary,Hepatocellular Carcinoma,Hepatocellular Carcinoma,LIHC,57.0,,,,Liver,hepatocellular_carcinoma,,,PT-f7BtKr,HCC,HCC,,Adult,asian,KCLB,,,MF-001-001,,,886,,
ACH-000317,TUHR14TKB,TUHR14TKB_KIDNEY,TUHR14TKB,,Male,RIKEN,2.0,"-3,233768867",Adherent,RPMI + 10% FBS,63,CVCL_5953,kidney,Primary,Renal Cell Carcinoma,Renal Cell Carcinoma,MISC,,,,,Kidney,renal_cell_carcinoma,,,PT-ARX9yV,RCC,RCC,,Unknown,,RIKEN,,,MF-001-001,,,RCB1383,,
ACH-000318,TE10,TE10_OESOPHAGUS,TE-10,7536220.0,Male,RIKEN,2.0,"-3,471540213",Adherent,RPMI + 10% FBS,"90,1",CVCL_1760,oesophagus,Primary,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCA,58.0,SIDM00349,15610.0,,Esophagus/Stomach,esophagus_squamous,,,PT-8hgOdH,ESCC,ESCC,,Adult,,RIKEN,,,MF-001-001,,,RCB2099,,
ACH-000319,MPP89,MPP89_PLEURA,MPP 89,9081500.0,Male,ICLC,2.0,"-4,009180261",Adherent,DMEM + 10% FBS,"55,8",CVCL_1427,pleural_effusion,,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",MESO,67.0,SIDM00222,22550.0,,Pleura,mesothelioma,,,PT-5z2CJx,PLEMESO,PLEMESO,,Adult,,ICLC,,,MF-002-001,,,HTL00012,,
ACH-000320,PSN1,PSN1_PANCREAS,PSN1,9105460.0,Male,ECACC,4.0,"-2,327166454",Adherent,RPMI + 10% FBS + 2mM Glutamine,"78,9",CVCL_1644,pancreas,Primary,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,36.0,SIDM00469,5600.0,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-tXqEg0,PAAD,PAAD,,Adult,caucasian,ECACC,,,MF-001-003,,,94060601,,
ACH-000321,MOLM6,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM-6,,Male,DSMZ,,,Suspension,RPMI + 20% FBS,,CVCL_2122,haematopoietic_and_lymphoid_tissue,Primary,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",LCML,44.0,,,,Myeloid,CML,blast_crisis,BCR-ABL1 positive,PT-vvBnLH,CMLBCRABL1,CMLBCRABL1,,Adult,,DSMZ,,,MF-001-020,,,,,
ACH-000322,HT144,HT144_SKIN,HT-144,9070670.0,Male,ATCC,2.0,"-3,271560350",Adherent,McCoy's 5A + 10% FBS,"49,5",CVCL_0318,skin,Metastatic,Melanoma,Melanoma,SKCM,29.0,SIDM00695,11930.0,,Skin,melanoma,,,PT-czDcsE,MEL,MEL,,Adult,caucasian,ATCC,,,MF-023-001,,,HTB-63,,
ACH-000323,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,6875610.0,Male,DSMZ,2.0,"-3,904623994",Adherent,RPMI:EMEM (1:1) + 20% FBS,"72,6",CVCL_1798,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,63.0,SIDM00982,14650.0,,CNS/Brain,glioma,astrocytoma,,PT-PE7kNG,GB,GB,,Adult,,DSMZ,,,MF-041-003,,,ACC 431,,
ACH-000324,JHOC5,JHOC5_OVARY,JHOC-5,,Female,RIKEN,3.0,"-3,395910096",Adherent,DMEM:F12 + 10% FBS + 100uM NEAA,"82,1",CVCL_4640,ovary,Primary,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,MISC,47.0,,,,Ovary/Fallopian Tube,ovary_adenocarcinoma,clear_cell,,PT-CrEQoF,CCOV,CCOV,,Adult,,RIKEN,,,MF-007-018,,,RCB1520,,
ACH-000325,SNU620,SNU620_STOMACH,SNU-620,,Female,KCLB,2.0,"-3,817664322",Suspension,RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate,84,CVCL_5079,ascites,Metastatic,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD,59.0,,,,Esophagus/Stomach,gastric_adenocarcinoma,,,PT-Du1wuZ,STAD,STAD,,Adult,asian,KCLB,,,MF-001-005,,,,,
ACH-000326,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURL-MK1,13277710.0,Male,DSMZ,2.0,"-4,560226070",Suspension,RPMI + 10% FBS,"41,8",CVCL_2086,haematopoietic_and_lymphoid_tissue,Primary,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",LCML,73.0,SIDM01015,18070.0,,Myeloid,CML,blast_crisis,BCR-ABL1 positive,PT-mEKuqA,CMLBCRABL1,CMLBCRABL1,,Adult,,DSMZ,,,MF-001-001,,,ACC 532,,
ACH-000327,NCIH1395,NCIH1395_LUNG,NCI-H1395,6846810.0,Female,ATCC,0.0,"-1,834413650",Adherent,RPMI + 10% FBS,,CVCL_1467,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,55.0,SIDM00644,18260.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-oKf5lW,LUAD,LUAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-5868,,
ACH-000328,LN215,LN215_CENTRAL_NERVOUS_SYSTEM,LN-215,,Female,Academic lab,,,Adherent,DMEM + 10% FBS,,CVCL_3954,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,60.0,,,,CNS/Brain,glioma,glioblastoma,,PT-EuirKR,GB,GB,,Adult,,Linda Chin,,,MF-002-001,,,,,
ACH-000329,CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCF-STTG1,9068230.0,Female,ATCC,2.0,"-4,123584686",Adherent,RPMI + 10% FBS,"81,5",CVCL_1118,central_nervous_system,Primary,Diffuse Glioma,Astrocytoma,LGG,68.0,SIDM00131,8760.0,,CNS/Brain,glioma,astrocytoma,,PT-GKdkIC,ASTR,ASTR,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL - 1718,,
ACH-000330,EFM19,EFM19_BREAST,EFM-19,9068510.0,Female,DSMZ,2.0,"-2,879089752",Adherent,RPMI + 10% FBS,68,CVCL_0253,pleural_effusion,Metastatic,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BRCA,50.0,SIDM01056,17860.0,,Breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,PT-ykXL80,IDC,IDC,,Adult,caucasian,DSMZ,,,MF-001-001,,,ACC 321,,
ACH-000331,ISTMES2,ISTMES2_PLEURA,IST-MES2,,Male,ICLC,2.0,"-4,141258849",Adherent,DMEM + 10% FBS + 2mM Glutamine + 100uM NEAA,"63,8",CVCL_1312,pleural_effusion,,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",MESO,71.0,,,,Pleura,mesothelioma,,,PT-ThvuiE,PLEMESO,PLEMESO,,Adult,caucasian,ICLC,,,MF-002-012,,,HTL01007,,
